GEOID,NAME,variable,estimate,moe
36001,"Albany County, New York",B01003_001,314679,NA
36003,"Allegany County, New York",B01003_001,46654,NA
36005,"Bronx County, New York",B01003_001,1468262,NA
36007,"Broome County, New York",B01003_001,198591,NA
36009,"Cattaraugus County, New York",B01003_001,77211,NA
36011,"Cayuga County, New York",B01003_001,76644,NA
36013,"Chautauqua County, New York",B01003_001,128042,NA
36015,"Chemung County, New York",B01003_001,84456,NA
36017,"Chenango County, New York",B01003_001,47407,NA
36019,"Clinton County, New York",B01003_001,80095,NA
36021,"Columbia County, New York",B01003_001,61587,NA
36023,"Cortland County, New York",B01003_001,46984,NA
36025,"Delaware County, New York",B01003_001,44644,NA
36027,"Dutchess County, New York",B01003_001,296012,NA
36029,"Erie County, New York",B01003_001,949715,NA
36031,"Essex County, New York",B01003_001,37501,NA
36033,"Franklin County, New York",B01003_001,47996,NA
36035,"Fulton County, New York",B01003_001,53588,NA
36037,"Genesee County, New York",B01003_001,58387,NA
36039,"Greene County, New York",B01003_001,48026,NA
36041,"Hamilton County, New York",B01003_001,5068,NA
36043,"Herkimer County, New York",B01003_001,60596,NA
36045,"Jefferson County, New York",B01003_001,117634,NA
36047,"Kings County, New York",B01003_001,2712360,NA
36049,"Lewis County, New York",B01003_001,26681,NA
36051,"Livingston County, New York",B01003_001,62253,NA
36053,"Madison County, New York",B01003_001,68466,NA
36055,"Monroe County, New York",B01003_001,757332,NA
36057,"Montgomery County, New York",B01003_001,49539,NA
36059,"Nassau County, New York",B01003_001,1391678,NA
36061,"New York County, New York",B01003_001,1669127,NA
36063,"Niagara County, New York",B01003_001,212808,NA
36065,"Oneida County, New York",B01003_001,232034,NA
36067,"Onondaga County, New York",B01003_001,474621,NA
36069,"Ontario County, New York",B01003_001,112060,NA
36071,"Orange County, New York",B01003_001,398277,NA
36073,"Orleans County, New York",B01003_001,40588,NA
36075,"Oswego County, New York",B01003_001,118019,NA
36077,"Otsego County, New York",B01003_001,58952,NA
36079,"Putnam County, New York",B01003_001,97960,NA
36081,"Queens County, New York",B01003_001,2393104,NA
36083,"Rensselaer County, New York",B01003_001,161125,NA
36085,"Richmond County, New York",B01003_001,493194,NA
36087,"Rockland County, New York",B01003_001,336485,NA
36089,"St. Lawrence County, New York",B01003_001,108836,NA
36091,"Saratoga County, New York",B01003_001,235010,NA
36093,"Schenectady County, New York",B01003_001,157515,NA
36095,"Schoharie County, New York",B01003_001,29936,NA
36097,"Schuyler County, New York",B01003_001,17920,NA
36099,"Seneca County, New York",B01003_001,33900,NA
36101,"Steuben County, New York",B01003_001,94153,NA
36103,"Suffolk County, New York",B01003_001,1522998,NA
36105,"Sullivan County, New York",B01003_001,78230,NA
36107,"Tioga County, New York",B01003_001,48567,NA
36109,"Tompkins County, New York",B01003_001,105638,NA
36111,"Ulster County, New York",B01003_001,181862,NA
36113,"Warren County, New York",B01003_001,65692,NA
36115,"Washington County, New York",B01003_001,61504,NA
36117,"Wayne County, New York",B01003_001,91332,NA
36119,"Westchester County, New York",B01003_001,999723,NA
36121,"Wyoming County, New York",B01003_001,40679,NA
36123,"Yates County, New York",B01003_001,24808,NA
